,tool,task,model,fold,train,val,test,overfit,constraint
0,autosklearn,cnae-9,best_ensemble_model,0,,,-0.0803405,,3600s1c8G
1,autosklearn,cnae-9,best_ensemble_model,1,,,-0.259967,,3600s1c8G
2,autosklearn,cnae-9,best_ensemble_model,2,,,-0.119851,,3600s1c8G
3,autosklearn,cnae-9,best_ensemble_model,3,,,-0.147973,,3600s1c8G
4,autosklearn,cnae-9,best_ensemble_model,4,,,-0.145366,,3600s1c8G
5,autosklearn,higgs,best_ensemble_model,0,,,0.816354,,3600s1c8G
6,autosklearn,higgs,best_ensemble_model,1,,,0.806752,,3600s1c8G
7,autosklearn,higgs,best_ensemble_model,2,,,0.8134819999999999,,3600s1c8G
8,autosklearn,higgs,best_ensemble_model,3,,,0.817046,,3600s1c8G
9,autosklearn,higgs,best_ensemble_model,4,,,0.818775,,3600s1c8G
10,autosklearn,kr-vs-kp,best_ensemble_model,0,,,0.999922,,3600s1c8G
11,autosklearn,kr-vs-kp,best_ensemble_model,1,,,0.9996870000000001,,3600s1c8G
12,autosklearn,kr-vs-kp,best_ensemble_model,2,,,0.999843,,3600s1c8G
13,autosklearn,kr-vs-kp,best_ensemble_model,3,,,1.0,,3600s1c8G
14,autosklearn,kr-vs-kp,best_ensemble_model,4,,,1.0,,3600s1c8G
15,autosklearn,vehicle,best_ensemble_model,0,,,-0.295271,,3600s1c8G
16,autosklearn,vehicle,best_ensemble_model,1,,,-0.360637,,3600s1c8G
17,autosklearn,vehicle,best_ensemble_model,2,,,-0.36134099999999997,,3600s1c8G
18,autosklearn,vehicle,best_ensemble_model,3,,,-0.324966,,3600s1c8G
19,autosklearn,vehicle,best_ensemble_model,4,,,-0.33470500000000003,,3600s1c8G
20,autosklearn,MiniBooNE,best_ensemble_model,0,,,0.983776,,3600s1c8G
21,autosklearn,MiniBooNE,best_ensemble_model,1,,,0.9849,,3600s1c8G
22,autosklearn,MiniBooNE,best_ensemble_model,2,,,0.9847389999999999,,3600s1c8G
23,autosklearn,MiniBooNE,best_ensemble_model,3,,,0.985563,,3600s1c8G
24,autosklearn,MiniBooNE,best_ensemble_model,4,,,0.985907,,3600s1c8G
25,autosklearn,connect-4,best_ensemble_model,0,,,-0.46291000000000004,,3600s1c8G
26,autosklearn,connect-4,best_ensemble_model,1,,,-0.463017,,3600s1c8G
27,autosklearn,connect-4,best_ensemble_model,2,,,-0.456084,,3600s1c8G
28,autosklearn,connect-4,best_ensemble_model,3,,,-0.46870600000000007,,3600s1c8G
29,autosklearn,connect-4,best_ensemble_model,4,,,-0.460214,,3600s1c8G
30,autosklearn,segment,best_ensemble_model,0,,,-0.0522595,,3600s1c8G
31,autosklearn,segment,best_ensemble_model,1,,,-0.038783,,3600s1c8G
32,autosklearn,segment,best_ensemble_model,2,,,-0.031867599999999996,,3600s1c8G
33,autosklearn,segment,best_ensemble_model,3,,,-0.0287166,,3600s1c8G
34,autosklearn,segment,best_ensemble_model,4,,,-0.0108924,,3600s1c8G
35,autosklearn,Australian,best_ensemble_model,0,,,0.9516129999999999,,3600s1c8G
36,autosklearn,Australian,best_ensemble_model,1,,,0.9193549999999999,,3600s1c8G
37,autosklearn,Australian,best_ensemble_model,2,,,0.923599,,3600s1c8G
38,autosklearn,Australian,best_ensemble_model,3,,,0.9261459999999999,,3600s1c8G
39,autosklearn,Australian,best_ensemble_model,4,,,0.9507639999999999,,3600s1c8G
40,autosklearn,adult,best_ensemble_model,0,,,0.9328420000000001,,3600s1c8G
41,autosklearn,adult,best_ensemble_model,1,,,0.929201,,3600s1c8G
42,autosklearn,adult,best_ensemble_model,2,,,0.931008,,3600s1c8G
43,autosklearn,adult,best_ensemble_model,3,,,0.927176,,3600s1c8G
44,autosklearn,adult,best_ensemble_model,4,,,0.9277639999999999,,3600s1c8G
45,autosklearn,Albert,best_ensemble_model,0,,,0.693645,,3600s1c8G
46,autosklearn,Albert,best_ensemble_model,1,,,0.695051,,3600s1c8G
47,autosklearn,Albert,best_ensemble_model,2,,,0.70005,,3600s1c8G
48,autosklearn,Albert,best_ensemble_model,3,,,0.586461,,3600s1c8G
49,autosklearn,Albert,best_ensemble_model,4,,,0.698083,,3600s1c8G
