,tool,task,model,fold,train,val,test,overfit,constraint
0,autosklearnEnsembleIntensification_520_members10_repeats5_level2_strategyInstancesSelf_ensemble_highest_repeat_trusted,cnae-9,best_ensemble_model,0,,,0.9722219999999999,,3600s1c8G
1,autosklearnEnsembleIntensification_520_members10_repeats5_level2_strategyInstancesSelf_ensemble_highest_repeat_trusted,cnae-9,best_ensemble_model,1,,,0.898148,,3600s1c8G
2,autosklearnEnsembleIntensification_520_members10_repeats5_level2_strategyInstancesSelf_ensemble_highest_repeat_trusted,cnae-9,best_ensemble_model,2,,,0.9722219999999999,,3600s1c8G
3,autosklearnEnsembleIntensification_520_members10_repeats5_level2_strategyInstancesSelf_ensemble_highest_repeat_trusted,cnae-9,best_ensemble_model,3,,,0.935185,,3600s1c8G
4,autosklearnEnsembleIntensification_520_members10_repeats5_level2_strategyInstancesSelf_ensemble_highest_repeat_trusted,cnae-9,best_ensemble_model,4,,,0.9629629999999999,,3600s1c8G
5,autosklearnEnsembleIntensification_520_members10_repeats5_level2_strategyInstancesSelf_ensemble_highest_repeat_trusted,higgs,best_ensemble_model,0,,,0.734334,,3600s1c8G
6,autosklearnEnsembleIntensification_520_members10_repeats5_level2_strategyInstancesSelf_ensemble_highest_repeat_trusted,higgs,best_ensemble_model,1,,,0.701295,,3600s1c8G
7,autosklearnEnsembleIntensification_520_members10_repeats5_level2_strategyInstancesSelf_ensemble_highest_repeat_trusted,higgs,best_ensemble_model,2,,,0.7277060000000001,,3600s1c8G
8,autosklearnEnsembleIntensification_520_members10_repeats5_level2_strategyInstancesSelf_ensemble_highest_repeat_trusted,higgs,best_ensemble_model,3,,,0.638221,,3600s1c8G
9,autosklearnEnsembleIntensification_520_members10_repeats5_level2_strategyInstancesSelf_ensemble_highest_repeat_trusted,higgs,best_ensemble_model,4,,,0.721492,,3600s1c8G
10,autosklearnEnsembleIntensification_520_members10_repeats5_level2_strategyInstancesSelf_ensemble_highest_repeat_trusted,kr-vs-kp,best_ensemble_model,0,,,0.9937379999999999,,3600s1c8G
11,autosklearnEnsembleIntensification_520_members10_repeats5_level2_strategyInstancesSelf_ensemble_highest_repeat_trusted,kr-vs-kp,best_ensemble_model,1,,,0.988024,,3600s1c8G
12,autosklearnEnsembleIntensification_520_members10_repeats5_level2_strategyInstancesSelf_ensemble_highest_repeat_trusted,kr-vs-kp,best_ensemble_model,2,,,0.996732,,3600s1c8G
13,autosklearnEnsembleIntensification_520_members10_repeats5_level2_strategyInstancesSelf_ensemble_highest_repeat_trusted,kr-vs-kp,best_ensemble_model,3,,,1.0,,3600s1c8G
