,tool,max_number_models,max_number_folds,max_num_repetitions,stacking_levels,cv_type,allowed_folds_to_use,task,model,fold,train,val,test,overfit,seed
0,autosklearn,20,3,1,2,cv,1.0,54,best_individual_model,0,0.9139566592401128,0.8370448937894015,0.84192207936998,0.006472762512435226,81
1,autosklearn,20,3,1,2,cv,1.0,54,best_ensemble_model,0,0.8510640041969966,inf,0.8293329192333515,0.01452305605786619,81
2,autosklearn,20,3,1,2,cv,1.0,54,best_individual_model,1,0.9139566592401128,0.8370448937894015,0.84192207936998,0.006472762512435226,81
3,autosklearn,20,3,1,2,cv,1.0,54,best_ensemble_model,1,0.8510640041969966,inf,0.8356620331574021,0.0012997287522604761,81
4,autosklearn,20,3,1,2,cv,1.0,54,best_individual_model,2,0.9139566592401128,0.8370448937894015,0.84192207936998,0.006472762512435226,81
5,autosklearn,20,3,1,2,cv,1.0,54,best_ensemble_model,2,0.8526665682995607,inf,0.8369617619096625,0.0037296564195298254,81
6,autosklearn,20,3,1,2,cv,1.0,54,best_individual_model,3,0.9139566592401128,0.8370448937894015,0.84192207936998,0.006472762512435226,81
7,autosklearn,20,3,1,2,cv,1.0,54,best_ensemble_model,3,0.8526665682995607,inf,0.8356620331574021,0.008193942133815635,81
8,autosklearn,20,3,1,2,cv,1.0,54,best_individual_model,4,0.9139566592401128,0.8370448937894015,0.84192207936998,0.006472762512435226,81
9,autosklearn,20,3,1,2,cv,1.0,54,best_ensemble_model,4,0.8510640041969966,inf,0.8324974761953767,0.008928571428571397,81
