,tool,max_number_models,max_number_folds,max_num_repetitions,stacking_levels,cv_type,allowed_folds_to_use,task,model,fold,train,val,test,overfit,seed
0,autosklearn,20,3,5,1,cv,1.0,40981,best_individual_model,0,0.8875169376693767,0.8670618789521228,0.8537739632630144,0.007339375952514771,42
1,autosklearn,20,3,5,1,cv,1.0,40981,best_ensemble_model,0,0.8821138211382114,inf,0.8409400818159942,0.02739231571348366,42
2,autosklearn,20,3,5,1,cv,1.0,40981,best_individual_model,1,0.8875169376693767,0.8670618789521228,0.8537739632630144,0.007339375952514771,42
3,autosklearn,20,3,5,1,cv,1.0,40981,best_ensemble_model,1,0.8821138211382114,inf,0.8409400818159942,0.02739231571348366,42
4,autosklearn,20,3,5,1,cv,1.0,40981,best_individual_model,2,0.8875169376693767,0.8670618789521228,0.8537739632630144,0.007339375952514771,42
5,autosklearn,20,3,5,1,cv,1.0,40981,best_ensemble_model,2,0.8821138211382114,inf,0.8409400818159942,0.02739231571348366,42
6,autosklearn,20,3,5,1,cv,1.0,40981,best_individual_model,3,0.8875169376693767,0.8670618789521228,0.8537739632630144,0.007339375952514771,42
7,autosklearn,20,3,5,1,cv,1.0,40981,best_ensemble_model,3,0.8821138211382114,inf,0.8409400818159942,0.029197080291970656,42
8,autosklearn,20,3,5,1,cv,1.0,40981,best_individual_model,4,0.8875169376693767,0.8670618789521228,0.8537739632630144,0.007339375952514771,42
9,autosklearn,20,3,5,1,cv,1.0,40981,best_ensemble_model,4,0.8821138211382114,inf,0.8409400818159942,0.029197080291970656,42
