,tool,task,model,fold,train,val,test,overfit,constraint
0,AutoGluon,cnae-9,best_ensemble_model,0,,,0.9722219999999999,,14400s1c8G
1,AutoGluon,cnae-9,best_ensemble_model,1,,,0.898148,,14400s1c8G
2,AutoGluon,cnae-9,best_ensemble_model,2,,,0.9629629999999999,,14400s1c8G
3,AutoGluon,cnae-9,best_ensemble_model,3,,,0.907407,,14400s1c8G
4,AutoGluon,cnae-9,best_ensemble_model,4,,,0.9814809999999999,,14400s1c8G
5,AutoGluon,higgs,best_ensemble_model,0,,,0.743648,,14400s1c8G
6,AutoGluon,higgs,best_ensemble_model,1,,,0.730654,,14400s1c8G
7,AutoGluon,higgs,best_ensemble_model,2,,,,,14400s1c8G
8,AutoGluon,higgs,best_ensemble_model,3,,,0.743047,,14400s1c8G
9,AutoGluon,higgs,best_ensemble_model,4,,,0.740749,,14400s1c8G
10,AutoGluon,kr-vs-kp,best_ensemble_model,0,,,0.996732,,14400s1c8G
11,AutoGluon,kr-vs-kp,best_ensemble_model,1,,,0.98503,,14400s1c8G
12,AutoGluon,kr-vs-kp,best_ensemble_model,2,,,0.996732,,14400s1c8G
13,AutoGluon,kr-vs-kp,best_ensemble_model,3,,,1.0,,14400s1c8G
14,AutoGluon,kr-vs-kp,best_ensemble_model,4,,,1.0,,14400s1c8G
15,AutoGluon,vehicle,best_ensemble_model,0,,,0.870617,,14400s1c8G
16,AutoGluon,vehicle,best_ensemble_model,1,,,0.8490260000000001,,14400s1c8G
17,AutoGluon,vehicle,best_ensemble_model,2,,,0.872294,,14400s1c8G
18,AutoGluon,vehicle,best_ensemble_model,3,,,0.895022,,14400s1c8G
19,AutoGluon,vehicle,best_ensemble_model,4,,,0.86039,,14400s1c8G
20,AutoGluon,MiniBooNE,best_ensemble_model,0,,,0.9421780000000001,,14400s1c8G
21,AutoGluon,MiniBooNE,best_ensemble_model,1,,,0.945916,,14400s1c8G
22,AutoGluon,MiniBooNE,best_ensemble_model,2,,,0.9455680000000001,,14400s1c8G
23,AutoGluon,MiniBooNE,best_ensemble_model,3,,,0.949026,,14400s1c8G
24,AutoGluon,MiniBooNE,best_ensemble_model,4,,,0.949793,,14400s1c8G
25,AutoGluon,connect-4,best_ensemble_model,0,,,0.757717,,14400s1c8G
26,AutoGluon,connect-4,best_ensemble_model,1,,,0.74837,,14400s1c8G
27,AutoGluon,connect-4,best_ensemble_model,2,,,0.7693800000000001,,14400s1c8G
28,AutoGluon,connect-4,best_ensemble_model,3,,,0.752116,,14400s1c8G
29,AutoGluon,connect-4,best_ensemble_model,4,,,0.753889,,14400s1c8G
30,AutoGluon,segment,best_ensemble_model,0,,,0.9913420000000001,,14400s1c8G
31,AutoGluon,segment,best_ensemble_model,1,,,0.9870129999999999,,14400s1c8G
32,AutoGluon,segment,best_ensemble_model,2,,,0.9870129999999999,,14400s1c8G
33,AutoGluon,segment,best_ensemble_model,3,,,0.9913420000000001,,14400s1c8G
34,AutoGluon,segment,best_ensemble_model,4,,,0.9956709999999999,,14400s1c8G
35,AutoGluon,Australian,best_ensemble_model,0,,,0.8726659999999999,,14400s1c8G
36,AutoGluon,Australian,best_ensemble_model,1,,,0.8314940000000001,,14400s1c8G
37,AutoGluon,Australian,best_ensemble_model,2,,,0.84635,,14400s1c8G
38,AutoGluon,Australian,best_ensemble_model,3,,,0.840407,,14400s1c8G
39,AutoGluon,Australian,best_ensemble_model,4,,,0.8960100000000001,,14400s1c8G
40,AutoGluon,adult,best_ensemble_model,0,,,0.817002,,14400s1c8G
41,AutoGluon,adult,best_ensemble_model,1,,,0.8227209999999999,,14400s1c8G
42,AutoGluon,adult,best_ensemble_model,2,,,0.8104779999999999,,14400s1c8G
43,AutoGluon,adult,best_ensemble_model,3,,,0.808607,,14400s1c8G
44,AutoGluon,adult,best_ensemble_model,4,,,0.808974,,14400s1c8G
45,AutoGluon,Albert,best_ensemble_model,0,,,,,14400s1c8G
46,AutoGluon,Albert,best_ensemble_model,1,,,,,14400s1c8G
47,AutoGluon,Albert,best_ensemble_model,2,,,,,14400s1c8G
48,AutoGluon,Albert,best_ensemble_model,3,,,,,14400s1c8G
49,AutoGluon,Albert,best_ensemble_model,4,,,,,14400s1c8G
