,tool,task,model,fold,train,val,test,overfit,constraint
0,autosklearnEnsembleIntensification_metaon_nostacking,Australian,best_ensemble_model,0,,,0.8756370000000001,,3600s8c32G
1,autosklearnEnsembleIntensification_metaon_nostacking,Australian,best_ensemble_model,1,,,0.8637520000000001,,3600s8c32G
2,autosklearnEnsembleIntensification_metaon_nostacking,Australian,best_ensemble_model,2,,,0.8433790000000001,,3600s8c32G
3,autosklearnEnsembleIntensification_metaon_nostacking,Australian,best_ensemble_model,3,,,0.8624790000000001,,3600s8c32G
4,autosklearnEnsembleIntensification_metaon_nostacking,Australian,best_ensemble_model,4,,,0.8989809999999999,,3600s8c32G
5,autosklearnEnsembleIntensification_metaon_nostacking,Australian,best_ensemble_model,5,,,0.8989809999999999,,3600s8c32G
6,autosklearnEnsembleIntensification_metaon_nostacking,Australian,best_ensemble_model,6,,,0.8565370000000001,,3600s8c32G
7,autosklearnEnsembleIntensification_metaon_nostacking,Australian,best_ensemble_model,7,,,0.882051,,3600s8c32G
8,autosklearnEnsembleIntensification_metaon_nostacking,Australian,best_ensemble_model,8,,,0.874359,,3600s8c32G
9,autosklearnEnsembleIntensification_metaon_nostacking,Australian,best_ensemble_model,9,,,0.826923,,3600s8c32G
10,autosklearnEnsembleIntensification_metaon_nostacking,blood-transfusion,best_ensemble_model,0,,,0.6608189999999999,,3600s8c32G
11,autosklearnEnsembleIntensification_metaon_nostacking,blood-transfusion,best_ensemble_model,1,,,0.776316,,3600s8c32G
12,autosklearnEnsembleIntensification_metaon_nostacking,blood-transfusion,best_ensemble_model,2,,,0.652047,,3600s8c32G
13,autosklearnEnsembleIntensification_metaon_nostacking,blood-transfusion,best_ensemble_model,3,,,0.621345,,3600s8c32G
14,autosklearnEnsembleIntensification_metaon_nostacking,blood-transfusion,best_ensemble_model,4,,,0.722222,,3600s8c32G
15,autosklearnEnsembleIntensification_metaon_nostacking,blood-transfusion,best_ensemble_model,5,,,0.69152,,3600s8c32G
16,autosklearnEnsembleIntensification_metaon_nostacking,blood-transfusion,best_ensemble_model,6,,,0.687135,,3600s8c32G
17,autosklearnEnsembleIntensification_metaon_nostacking,blood-transfusion,best_ensemble_model,7,,,0.6695909999999999,,3600s8c32G
18,autosklearnEnsembleIntensification_metaon_nostacking,blood-transfusion,best_ensemble_model,8,,,0.680083,,3600s8c32G
19,autosklearnEnsembleIntensification_metaon_nostacking,blood-transfusion,best_ensemble_model,9,,,0.7358100000000001,,3600s8c32G
20,autosklearnEnsembleIntensification_metaon_nostacking,car,best_ensemble_model,0,,,1.0,,3600s8c32G
21,autosklearnEnsembleIntensification_metaon_nostacking,car,best_ensemble_model,1,,,1.0,,3600s8c32G
22,autosklearnEnsembleIntensification_metaon_nostacking,car,best_ensemble_model,2,,,1.0,,3600s8c32G
23,autosklearnEnsembleIntensification_metaon_nostacking,car,best_ensemble_model,3,,,1.0,,3600s8c32G
24,autosklearnEnsembleIntensification_metaon_nostacking,car,best_ensemble_model,4,,,1.0,,3600s8c32G
25,autosklearnEnsembleIntensification_metaon_nostacking,car,best_ensemble_model,5,,,1.0,,3600s8c32G
26,autosklearnEnsembleIntensification_metaon_nostacking,car,best_ensemble_model,6,,,1.0,,3600s8c32G
27,autosklearnEnsembleIntensification_metaon_nostacking,car,best_ensemble_model,7,,,1.0,,3600s8c32G
28,autosklearnEnsembleIntensification_metaon_nostacking,car,best_ensemble_model,8,,,1.0,,3600s8c32G
29,autosklearnEnsembleIntensification_metaon_nostacking,car,best_ensemble_model,9,,,1.0,,3600s8c32G
30,autosklearnEnsembleIntensification_metaon_nostacking,christine,best_ensemble_model,0,,,0.763838,,3600s8c32G
31,autosklearnEnsembleIntensification_metaon_nostacking,christine,best_ensemble_model,1,,,0.780443,,3600s8c32G
32,autosklearnEnsembleIntensification_metaon_nostacking,christine,best_ensemble_model,2,,,0.758303,,3600s8c32G
33,autosklearnEnsembleIntensification_metaon_nostacking,christine,best_ensemble_model,3,,,0.763838,,3600s8c32G
34,autosklearnEnsembleIntensification_metaon_nostacking,christine,best_ensemble_model,4,,,0.738007,,3600s8c32G
35,autosklearnEnsembleIntensification_metaon_nostacking,christine,best_ensemble_model,5,,,0.7785979999999999,,3600s8c32G
36,autosklearnEnsembleIntensification_metaon_nostacking,christine,best_ensemble_model,6,,,0.789668,,3600s8c32G
37,autosklearnEnsembleIntensification_metaon_nostacking,christine,best_ensemble_model,7,,,0.756458,,3600s8c32G
38,autosklearnEnsembleIntensification_metaon_nostacking,christine,best_ensemble_model,8,,,0.7707390000000001,,3600s8c32G
39,autosklearnEnsembleIntensification_metaon_nostacking,christine,best_ensemble_model,9,,,0.7375430000000001,,3600s8c32G
40,autosklearnEnsembleIntensification_metaon_nostacking,cnae-9,best_ensemble_model,0,,,0.9814809999999999,,3600s8c32G
41,autosklearnEnsembleIntensification_metaon_nostacking,cnae-9,best_ensemble_model,1,,,0.925926,,3600s8c32G
42,autosklearnEnsembleIntensification_metaon_nostacking,cnae-9,best_ensemble_model,2,,,0.9537040000000001,,3600s8c32G
43,autosklearnEnsembleIntensification_metaon_nostacking,cnae-9,best_ensemble_model,3,,,0.9722219999999999,,3600s8c32G
44,autosklearnEnsembleIntensification_metaon_nostacking,cnae-9,best_ensemble_model,4,,,0.9722219999999999,,3600s8c32G
45,autosklearnEnsembleIntensification_metaon_nostacking,cnae-9,best_ensemble_model,5,,,0.9629629999999999,,3600s8c32G
46,autosklearnEnsembleIntensification_metaon_nostacking,cnae-9,best_ensemble_model,6,,,0.9537040000000001,,3600s8c32G
47,autosklearnEnsembleIntensification_metaon_nostacking,cnae-9,best_ensemble_model,7,,,0.9444440000000001,,3600s8c32G
48,autosklearnEnsembleIntensification_metaon_nostacking,cnae-9,best_ensemble_model,8,,,0.9722219999999999,,3600s8c32G
49,autosklearnEnsembleIntensification_metaon_nostacking,cnae-9,best_ensemble_model,9,,,0.9629629999999999,,3600s8c32G
50,autosklearnEnsembleIntensification_metaon_nostacking,credit-g,best_ensemble_model,0,,,0.761905,,3600s8c32G
51,autosklearnEnsembleIntensification_metaon_nostacking,credit-g,best_ensemble_model,1,,,0.609524,,3600s8c32G
52,autosklearnEnsembleIntensification_metaon_nostacking,credit-g,best_ensemble_model,2,,,0.666667,,3600s8c32G
53,autosklearnEnsembleIntensification_metaon_nostacking,credit-g,best_ensemble_model,3,,,0.647619,,3600s8c32G
54,autosklearnEnsembleIntensification_metaon_nostacking,credit-g,best_ensemble_model,4,,,0.733333,,3600s8c32G
55,autosklearnEnsembleIntensification_metaon_nostacking,credit-g,best_ensemble_model,5,,,0.7523810000000001,,3600s8c32G
56,autosklearnEnsembleIntensification_metaon_nostacking,credit-g,best_ensemble_model,6,,,0.730952,,3600s8c32G
57,autosklearnEnsembleIntensification_metaon_nostacking,credit-g,best_ensemble_model,7,,,0.759524,,3600s8c32G
58,autosklearnEnsembleIntensification_metaon_nostacking,credit-g,best_ensemble_model,8,,,0.688095,,3600s8c32G
59,autosklearnEnsembleIntensification_metaon_nostacking,credit-g,best_ensemble_model,9,,,0.669048,,3600s8c32G
60,autosklearnEnsembleIntensification_metaon_nostacking,dilbert,best_ensemble_model,0,,,0.995058,,3600s8c32G
61,autosklearnEnsembleIntensification_metaon_nostacking,dilbert,best_ensemble_model,1,,,0.9949969999999999,,3600s8c32G
62,autosklearnEnsembleIntensification_metaon_nostacking,dilbert,best_ensemble_model,2,,,0.998025,,3600s8c32G
63,autosklearnEnsembleIntensification_metaon_nostacking,dilbert,best_ensemble_model,3,,,0.9959819999999999,,3600s8c32G
64,autosklearnEnsembleIntensification_metaon_nostacking,dilbert,best_ensemble_model,4,,,0.994891,,3600s8c32G
65,autosklearnEnsembleIntensification_metaon_nostacking,dilbert,best_ensemble_model,5,,,0.9980190000000001,,3600s8c32G
66,autosklearnEnsembleIntensification_metaon_nostacking,dilbert,best_ensemble_model,6,,,0.997044,,3600s8c32G
67,autosklearnEnsembleIntensification_metaon_nostacking,dilbert,best_ensemble_model,7,,,1.0,,3600s8c32G
68,autosklearnEnsembleIntensification_metaon_nostacking,dilbert,best_ensemble_model,8,,,0.998014,,3600s8c32G
69,autosklearnEnsembleIntensification_metaon_nostacking,dilbert,best_ensemble_model,9,,,1.0,,3600s8c32G
70,autosklearnEnsembleIntensification_metaon_nostacking,fabert,best_ensemble_model,0,,,0.7458239999999999,,3600s8c32G
71,autosklearnEnsembleIntensification_metaon_nostacking,fabert,best_ensemble_model,1,,,0.74666,,3600s8c32G
72,autosklearnEnsembleIntensification_metaon_nostacking,fabert,best_ensemble_model,2,,,0.732696,,3600s8c32G
