,tool,task,model,fold,train,val,test,overfit,constraint
0,autosklearn_constantlier,cnae-9,best_ensemble_model,0,,,0.9444440000000001,,3600s8c32G
1,autosklearn_constantlier,cnae-9,best_ensemble_model,1,,,0.925926,,3600s8c32G
2,autosklearn_constantlier,cnae-9,best_ensemble_model,2,,,0.9722219999999999,,3600s8c32G
3,autosklearn_constantlier,cnae-9,best_ensemble_model,3,,,0.935185,,3600s8c32G
4,autosklearn_constantlier,cnae-9,best_ensemble_model,4,,,0.9629629999999999,,3600s8c32G
5,autosklearn_constantlier,higgs,best_ensemble_model,0,,,0.734212,,3600s8c32G
6,autosklearn_constantlier,higgs,best_ensemble_model,1,,,0.722599,,3600s8c32G
7,autosklearn_constantlier,higgs,best_ensemble_model,2,,,0.729128,,3600s8c32G
8,autosklearn_constantlier,higgs,best_ensemble_model,3,,,0.7336560000000001,,3600s8c32G
9,autosklearn_constantlier,higgs,best_ensemble_model,4,,,0.73224,,3600s8c32G
10,autosklearn_constantlier,kr-vs-kp,best_ensemble_model,0,,,0.9937379999999999,,3600s8c32G
11,autosklearn_constantlier,kr-vs-kp,best_ensemble_model,1,,,0.9910180000000001,,3600s8c32G
12,autosklearn_constantlier,kr-vs-kp,best_ensemble_model,2,,,0.996732,,3600s8c32G
13,autosklearn_constantlier,kr-vs-kp,best_ensemble_model,3,,,0.997006,,3600s8c32G
14,autosklearn_constantlier,kr-vs-kp,best_ensemble_model,4,,,1.0,,3600s8c32G
15,autosklearn_constantlier,vehicle,best_ensemble_model,0,,,0.8955629999999999,,3600s8c32G
16,autosklearn_constantlier,vehicle,best_ensemble_model,1,,,0.825216,,3600s8c32G
17,autosklearn_constantlier,vehicle,best_ensemble_model,2,,,0.847944,,3600s8c32G
18,autosklearn_constantlier,vehicle,best_ensemble_model,3,,,0.8138529999999999,,3600s8c32G
19,autosklearn_constantlier,vehicle,best_ensemble_model,4,,,0.896645,,3600s8c32G
20,autosklearn_constantlier,MiniBooNE,best_ensemble_model,0,,,0.9378790000000001,,3600s8c32G
21,autosklearn_constantlier,MiniBooNE,best_ensemble_model,1,,,0.939787,,3600s8c32G
22,autosklearn_constantlier,MiniBooNE,best_ensemble_model,2,,,0.9415120000000001,,3600s8c32G
23,autosklearn_constantlier,MiniBooNE,best_ensemble_model,3,,,0.947419,,3600s8c32G
24,autosklearn_constantlier,MiniBooNE,best_ensemble_model,4,,,0.9457190000000001,,3600s8c32G
25,autosklearn_constantlier,connect-4,best_ensemble_model,0,,,0.7618060000000001,,3600s8c32G
26,autosklearn_constantlier,connect-4,best_ensemble_model,1,,,0.75598,,3600s8c32G
27,autosklearn_constantlier,connect-4,best_ensemble_model,2,,,0.782755,,3600s8c32G
28,autosklearn_constantlier,connect-4,best_ensemble_model,3,,,0.76474,,3600s8c32G
29,autosklearn_constantlier,connect-4,best_ensemble_model,4,,,0.761432,,3600s8c32G
30,autosklearn_constantlier,segment,best_ensemble_model,0,,,0.9870129999999999,,3600s8c32G
31,autosklearn_constantlier,segment,best_ensemble_model,1,,,0.982684,,3600s8c32G
32,autosklearn_constantlier,segment,best_ensemble_model,2,,,0.9913420000000001,,3600s8c32G
33,autosklearn_constantlier,segment,best_ensemble_model,3,,,0.9956709999999999,,3600s8c32G
34,autosklearn_constantlier,segment,best_ensemble_model,4,,,1.0,,3600s8c32G
35,autosklearn_constantlier,Australian,best_ensemble_model,0,,,0.8756370000000001,,3600s8c32G
36,autosklearn_constantlier,Australian,best_ensemble_model,1,,,0.8476229999999999,,3600s8c32G
37,autosklearn_constantlier,Australian,best_ensemble_model,2,,,0.817063,,3600s8c32G
38,autosklearn_constantlier,Australian,best_ensemble_model,3,,,0.84635,,3600s8c32G
39,autosklearn_constantlier,Australian,best_ensemble_model,4,,,0.8828520000000001,,3600s8c32G
40,autosklearn_constantlier,adult,best_ensemble_model,0,,,0.8466040000000001,,3600s8c32G
41,autosklearn_constantlier,adult,best_ensemble_model,1,,,0.839339,,3600s8c32G
42,autosklearn_constantlier,adult,best_ensemble_model,2,,,0.846665,,3600s8c32G
43,autosklearn_constantlier,adult,best_ensemble_model,3,,,0.841369,,3600s8c32G
44,autosklearn_constantlier,adult,best_ensemble_model,4,,,0.836794,,3600s8c32G
45,autosklearn_constantlier,Albert,best_ensemble_model,0,,,0.686836,,3600s8c32G
46,autosklearn_constantlier,Albert,best_ensemble_model,1,,,0.688529,,3600s8c32G
47,autosklearn_constantlier,Albert,best_ensemble_model,2,,,0.6946899999999999,,3600s8c32G
48,autosklearn_constantlier,Albert,best_ensemble_model,3,,,0.687353,,3600s8c32G
49,autosklearn_constantlier,Albert,best_ensemble_model,4,,,0.6908569999999999,,3600s8c32G
