,tool,task,model,fold,train,val,test,overfit,seed
0,autosklearnBBCScoreEnsemble_es50_B100_N1.0,segment,best_individual_model,0,0.0,0.0,0.0,0.0,117
1,autosklearnBBCScoreEnsemble_es50_B100_N1.0,segment,best_ensemble_model,0,0.9894179894179896,inf,0.9913419913419912,0.0,117
2,autosklearnBBCScoreEnsemble_es50_B100_N1.0,segment,best_individual_model,1,0.0,0.0,0.0,0.0,117
3,autosklearnBBCScoreEnsemble_es50_B100_N1.0,segment,best_ensemble_model,1,0.9865319865319864,inf,0.9826839826839828,0.0,117
4,autosklearnBBCScoreEnsemble_es50_B100_N1.0,segment,best_individual_model,2,0.0,0.0,0.0,0.0,117
5,autosklearnBBCScoreEnsemble_es50_B100_N1.0,segment,best_ensemble_model,2,0.9884559884559884,inf,0.9913419913419912,0.0,117
6,autosklearnBBCScoreEnsemble_es50_B100_N1.0,segment,best_individual_model,3,0.0,0.0,0.0,0.0,117
7,autosklearnBBCScoreEnsemble_es50_B100_N1.0,segment,best_ensemble_model,3,0.9865319865319864,inf,0.9826839826839828,0.0,117
8,autosklearnBBCScoreEnsemble_es50_B100_N1.0,segment,best_individual_model,4,0.0,0.0,0.0,0.0,117
9,autosklearnBBCScoreEnsemble_es50_B100_N1.0,segment,best_ensemble_model,4,0.9894179894179894,inf,1.0,0.0,117
