,tool,task,model,fold,train,val,test,overfit,constraint
0,autosklearnEnsembleIntensification_920_members10_repeats5_level2_strategyInstancesSelf_ensemble_highest_repeat_trusted_initconfigs_BO,cnae-9,best_ensemble_model,0,,,0.962963,,14400s1c8G
1,autosklearnEnsembleIntensification_920_members10_repeats5_level2_strategyInstancesSelf_ensemble_highest_repeat_trusted_initconfigs_BO,cnae-9,best_ensemble_model,1,,,0.925926,,14400s1c8G
2,autosklearnEnsembleIntensification_920_members10_repeats5_level2_strategyInstancesSelf_ensemble_highest_repeat_trusted_initconfigs_BO,cnae-9,best_ensemble_model,2,,,0.972222,,14400s1c8G
3,autosklearnEnsembleIntensification_920_members10_repeats5_level2_strategyInstancesSelf_ensemble_highest_repeat_trusted_initconfigs_BO,cnae-9,best_ensemble_model,3,,,0.944444,,14400s1c8G
4,autosklearnEnsembleIntensification_920_members10_repeats5_level2_strategyInstancesSelf_ensemble_highest_repeat_trusted_initconfigs_BO,cnae-9,best_ensemble_model,4,,,0.972222,,14400s1c8G
5,autosklearnEnsembleIntensification_920_members10_repeats5_level2_strategyInstancesSelf_ensemble_highest_repeat_trusted_initconfigs_BO,higgs,best_ensemble_model,0,,,0.73047,,14400s1c8G
6,autosklearnEnsembleIntensification_920_members10_repeats5_level2_strategyInstancesSelf_ensemble_highest_repeat_trusted_initconfigs_BO,higgs,best_ensemble_model,1,,,0.714932,,14400s1c8G
7,autosklearnEnsembleIntensification_920_members10_repeats5_level2_strategyInstancesSelf_ensemble_highest_repeat_trusted_initconfigs_BO,higgs,best_ensemble_model,2,,,0.732027,,14400s1c8G
8,autosklearnEnsembleIntensification_920_members10_repeats5_level2_strategyInstancesSelf_ensemble_highest_repeat_trusted_initconfigs_BO,higgs,best_ensemble_model,3,,,0.723775,,14400s1c8G
9,autosklearnEnsembleIntensification_920_members10_repeats5_level2_strategyInstancesSelf_ensemble_highest_repeat_trusted_initconfigs_BO,higgs,best_ensemble_model,4,,,0.734847,,14400s1c8G
