,tool,task,model,fold,train,val,test,overfit,constraint
0,autosklearn_28800s1c8G,cnae-9,best_ensemble_model,0,,,0.9722219999999999,,28800s1c8G
1,autosklearn_28800s1c8G,cnae-9,best_ensemble_model,1,,,0.8888889999999999,,28800s1c8G
2,autosklearn_28800s1c8G,cnae-9,best_ensemble_model,2,,,0.9722219999999999,,28800s1c8G
3,autosklearn_28800s1c8G,cnae-9,best_ensemble_model,3,,,0.935185,,28800s1c8G
4,autosklearn_28800s1c8G,cnae-9,best_ensemble_model,4,,,0.9722219999999999,,28800s1c8G
5,autosklearn_28800s1c8G,higgs,best_ensemble_model,0,,,0.737282,,28800s1c8G
6,autosklearn_28800s1c8G,higgs,best_ensemble_model,1,,,0.7236739999999999,,28800s1c8G
7,autosklearn_28800s1c8G,higgs,best_ensemble_model,2,,,0.735997,,28800s1c8G
8,autosklearn_28800s1c8G,higgs,best_ensemble_model,3,,,0.73331,,28800s1c8G
9,autosklearn_28800s1c8G,higgs,best_ensemble_model,4,,,0.735798,,28800s1c8G
10,autosklearn_28800s1c8G,kr-vs-kp,best_ensemble_model,0,,,0.996732,,28800s1c8G
11,autosklearn_28800s1c8G,kr-vs-kp,best_ensemble_model,1,,,0.988024,,28800s1c8G
12,autosklearn_28800s1c8G,kr-vs-kp,best_ensemble_model,2,,,0.996732,,28800s1c8G
13,autosklearn_28800s1c8G,kr-vs-kp,best_ensemble_model,3,,,1.0,,28800s1c8G
14,autosklearn_28800s1c8G,kr-vs-kp,best_ensemble_model,4,,,1.0,,28800s1c8G
15,autosklearn_28800s1c8G,vehicle,best_ensemble_model,0,,,0.871699,,28800s1c8G
16,autosklearn_28800s1c8G,vehicle,best_ensemble_model,1,,,0.8490260000000001,,28800s1c8G
17,autosklearn_28800s1c8G,vehicle,best_ensemble_model,2,,,0.8371209999999999,,28800s1c8G
18,autosklearn_28800s1c8G,vehicle,best_ensemble_model,3,,,0.86039,,28800s1c8G
19,autosklearn_28800s1c8G,vehicle,best_ensemble_model,4,,,0.838203,,28800s1c8G
20,autosklearn_28800s1c8G,MiniBooNE,best_ensemble_model,0,,,0.9413159999999999,,28800s1c8G
21,autosklearn_28800s1c8G,MiniBooNE,best_ensemble_model,1,,,0.9391860000000001,,28800s1c8G
22,autosklearn_28800s1c8G,MiniBooNE,best_ensemble_model,2,,,0.939651,,28800s1c8G
23,autosklearn_28800s1c8G,MiniBooNE,best_ensemble_model,3,,,0.943865,,28800s1c8G
24,autosklearn_28800s1c8G,MiniBooNE,best_ensemble_model,4,,,0.941372,,28800s1c8G
25,autosklearn_28800s1c8G,connect-4,best_ensemble_model,0,,,0.765433,,28800s1c8G
26,autosklearn_28800s1c8G,connect-4,best_ensemble_model,1,,,0.76246,,28800s1c8G
27,autosklearn_28800s1c8G,connect-4,best_ensemble_model,2,,,0.77737,,28800s1c8G
28,autosklearn_28800s1c8G,connect-4,best_ensemble_model,3,,,0.7562439999999999,,28800s1c8G
29,autosklearn_28800s1c8G,connect-4,best_ensemble_model,4,,,0.766003,,28800s1c8G
30,autosklearn_28800s1c8G,segment,best_ensemble_model,0,,,0.9913420000000001,,28800s1c8G
31,autosklearn_28800s1c8G,segment,best_ensemble_model,1,,,0.9870129999999999,,28800s1c8G
32,autosklearn_28800s1c8G,segment,best_ensemble_model,2,,,0.9870129999999999,,28800s1c8G
33,autosklearn_28800s1c8G,segment,best_ensemble_model,3,,,0.9870129999999999,,28800s1c8G
34,autosklearn_28800s1c8G,segment,best_ensemble_model,4,,,1.0,,28800s1c8G
35,autosklearn_28800s1c8G,Australian,best_ensemble_model,0,,,0.8887950000000001,,28800s1c8G
36,autosklearn_28800s1c8G,Australian,best_ensemble_model,1,,,0.8374360000000001,,28800s1c8G
37,autosklearn_28800s1c8G,Australian,best_ensemble_model,2,,,0.84635,,28800s1c8G
38,autosklearn_28800s1c8G,Australian,best_ensemble_model,3,,,0.8302209999999999,,28800s1c8G
39,autosklearn_28800s1c8G,Australian,best_ensemble_model,4,,,0.8828520000000001,,28800s1c8G
40,autosklearn_28800s1c8G,adult,best_ensemble_model,0,,,0.8486809999999999,,28800s1c8G
41,autosklearn_28800s1c8G,adult,best_ensemble_model,1,,,0.8377,,28800s1c8G
42,autosklearn_28800s1c8G,adult,best_ensemble_model,2,,,0.8517040000000001,,28800s1c8G
43,autosklearn_28800s1c8G,adult,best_ensemble_model,3,,,0.8431540000000001,,28800s1c8G
44,autosklearn_28800s1c8G,adult,best_ensemble_model,4,,,0.836109,,28800s1c8G
45,autosklearn_28800s1c8G,Albert,best_ensemble_model,0,,,0.6888350000000001,,28800s1c8G
46,autosklearn_28800s1c8G,Albert,best_ensemble_model,1,,,0.68787,,28800s1c8G
47,autosklearn_28800s1c8G,Albert,best_ensemble_model,2,,,0.6909270000000001,,28800s1c8G
48,autosklearn_28800s1c8G,Albert,best_ensemble_model,3,,,0.687094,,28800s1c8G
49,autosklearn_28800s1c8G,Albert,best_ensemble_model,4,,,0.6895399999999999,,28800s1c8G
