,tool,max_number_models,max_number_folds,max_num_repetitions,stacking_levels,cv_type,allowed_folds_to_use,task,model,fold,train,val,test,overfit,seed
0,autosklearn,20,3,1,1,cv,1.0,54,best_individual_model,0,0.9931578254285276,0.8001495381805337,0.8480816634567793,0.0,61
1,autosklearn,20,3,1,1,cv,1.0,54,best_ensemble_model,0,0.8400817266706013,inf,0.8362271326149067,0.0,61
2,autosklearn,20,3,1,1,cv,1.0,54,best_individual_model,1,0.9931578254285276,0.8001495381805337,0.8480816634567793,0.0,61
3,autosklearn,20,3,1,1,cv,1.0,54,best_ensemble_model,1,0.8400817266706013,inf,0.8349274038626462,0.0031645569620253333,61
4,autosklearn,20,3,1,1,cv,1.0,54,best_individual_model,2,0.9931578254285276,0.8001495381805337,0.8480816634567793,0.0,61
5,autosklearn,20,3,1,1,cv,1.0,54,best_ensemble_model,2,0.8401083677618204,inf,0.8362271326149067,0.0,61
6,autosklearn,20,3,1,1,cv,1.0,54,best_individual_model,3,0.9931578254285276,0.8001495381805337,0.8480816634567793,0.0,61
7,autosklearn,20,3,1,1,cv,1.0,54,best_ensemble_model,3,0.8382701324677028,inf,0.8349274038626462,0.0,61
8,autosklearn,20,3,1,1,cv,1.0,54,best_individual_model,4,0.9931578254285276,0.8001495381805337,0.8480816634567793,0.0,61
9,autosklearn,20,3,1,1,cv,1.0,54,best_ensemble_model,4,0.8400817266706013,inf,0.8362271326149067,0.0,61
