,tool,max_number_models,max_number_folds,max_num_repetitions,stacking_levels,cv_type,allowed_folds_to_use,task,model,fold,train,val,test,overfit,seed
0,autosklearn,10,3,1,1,cv,1.0,1468,best_individual_model,0,0.9979668822261416,0.9210316212806634,0.9147549118092876,0.0019225850768196384,31
1,autosklearn,10,3,1,1,cv,1.0,1468,best_ensemble_model,0,0.9554331296491724,inf,0.9339830111582548,0.0025870591087979733,31
2,autosklearn,10,3,1,1,cv,1.0,1468,best_individual_model,1,0.9979668822261416,0.9210316212806634,0.9147549118092876,0.0019225850768196384,31
3,autosklearn,10,3,1,1,cv,1.0,1468,best_ensemble_model,1,0.953931628147671,inf,0.9312729840579836,0.005297086209069102,31
4,autosklearn,10,3,1,1,cv,1.0,1468,best_individual_model,2,0.9979668822261416,0.9210316212806634,0.9147549118092876,0.0019225850768196384,31
5,autosklearn,10,3,1,1,cv,1.0,1468,best_ensemble_model,2,0.9526829386636874,inf,0.9395730732700558,0.0,31
6,autosklearn,10,3,1,1,cv,1.0,1468,best_individual_model,3,0.9979668822261416,0.9210316212806634,0.9147549118092876,0.0019225850768196384,31
7,autosklearn,10,3,1,1,cv,1.0,1468,best_ensemble_model,3,0.9554331296491724,inf,0.9339830111582548,0.00559006211180102,31
8,autosklearn,10,3,1,1,cv,1.0,1468,best_individual_model,4,0.9979668822261416,0.9210316212806634,0.9147549118092876,0.0019225850768196384,31
9,autosklearn,10,3,1,1,cv,1.0,1468,best_ensemble_model,4,0.953931628147671,inf,0.934447587232587,0.007974488886471787,31
