,tool,max_number_models,max_number_folds,max_num_repetitions,stacking_levels,cv_type,allowed_folds_to_use,task,model,fold,train,val,test,overfit,seed
0,autosklearn,10,3,3,2,cv,1.0,1468,best_individual_model,0,0.9897375854096564,0.9105914639418258,0.9437377660879832,0.0,31
1,autosklearn,10,3,3,2,cv,1.0,1468,best_ensemble_model,0,0.9422560411152441,inf,0.9446084378605266,0.0024154589371981894,31
2,autosklearn,10,3,3,2,cv,1.0,1468,best_individual_model,1,0.9897375854096564,0.9105914639418258,0.9437377660879832,0.0,31
3,autosklearn,10,3,3,2,cv,1.0,1468,best_ensemble_model,1,0.9423523766527118,inf,0.9470238967977248,0.0,31
4,autosklearn,10,3,3,2,cv,1.0,1468,best_individual_model,2,0.9897375854096564,0.9105914639418258,0.9437377660879832,0.0,31
5,autosklearn,10,3,3,2,cv,1.0,1468,best_ensemble_model,2,0.9419166468052173,inf,0.9470238967977248,0.0,31
6,autosklearn,10,3,3,2,cv,1.0,1468,best_individual_model,3,0.9897375854096564,0.9105914639418258,0.9437377660879832,0.0,31
7,autosklearn,10,3,3,2,cv,1.0,1468,best_ensemble_model,3,0.9419166468052173,inf,0.9470238967977248,0.0,31
8,autosklearn,10,3,3,2,cv,1.0,1468,best_individual_model,4,0.9897375854096564,0.9105914639418258,0.9437377660879832,0.0,31
9,autosklearn,10,3,3,2,cv,1.0,1468,best_ensemble_model,4,0.9423523766527118,inf,0.9470238967977248,0.0,31
