,tool,task,model,fold,train,val,test,overfit,constraint
0,autosklearnHyperbandTowering_metalearning_memefficient_notestloss,Airlines,best_ensemble_model,0,,,0.647734,,3600s8c32G
1,autosklearnHyperbandTowering_metalearning_memefficient_notestloss,Airlines,best_ensemble_model,1,,,0.646898,,3600s8c32G
2,autosklearnHyperbandTowering_metalearning_memefficient_notestloss,Airlines,best_ensemble_model,2,,,0.646003,,3600s8c32G
3,autosklearnHyperbandTowering_metalearning_memefficient_notestloss,Airlines,best_ensemble_model,3,,,0.647274,,3600s8c32G
4,autosklearnHyperbandTowering_metalearning_memefficient_notestloss,Airlines,best_ensemble_model,4,,,0.642792,,3600s8c32G
5,autosklearnHyperbandTowering_metalearning_memefficient_notestloss,Airlines,best_ensemble_model,5,,,0.644729,,3600s8c32G
6,autosklearnHyperbandTowering_metalearning_memefficient_notestloss,Airlines,best_ensemble_model,6,,,0.648884,,3600s8c32G
7,autosklearnHyperbandTowering_metalearning_memefficient_notestloss,Airlines,best_ensemble_model,7,,,0.644679,,3600s8c32G
8,autosklearnHyperbandTowering_metalearning_memefficient_notestloss,Airlines,best_ensemble_model,8,,,0.6475310000000001,,3600s8c32G
9,autosklearnHyperbandTowering_metalearning_memefficient_notestloss,Airlines,best_ensemble_model,9,,,0.652853,,3600s8c32G
10,autosklearnHyperbandTowering_metalearning_memefficient_notestloss,Albert,best_ensemble_model,0,,,0.650362,,3600s8c32G
11,autosklearnHyperbandTowering_metalearning_memefficient_notestloss,Albert,best_ensemble_model,1,,,0.6507149999999999,,3600s8c32G
12,autosklearnHyperbandTowering_metalearning_memefficient_notestloss,Albert,best_ensemble_model,2,,,0.6528079999999999,,3600s8c32G
13,autosklearnHyperbandTowering_metalearning_memefficient_notestloss,Albert,best_ensemble_model,3,,,0.688529,,3600s8c32G
14,autosklearnHyperbandTowering_metalearning_memefficient_notestloss,Albert,best_ensemble_model,4,,,0.690645,,3600s8c32G
15,autosklearnHyperbandTowering_metalearning_memefficient_notestloss,Albert,best_ensemble_model,5,,,0.6893050000000001,,3600s8c32G
16,autosklearnHyperbandTowering_metalearning_memefficient_notestloss,Albert,best_ensemble_model,6,,,0.687141,,3600s8c32G
17,autosklearnHyperbandTowering_metalearning_memefficient_notestloss,Albert,best_ensemble_model,7,,,0.691868,,3600s8c32G
18,autosklearnHyperbandTowering_metalearning_memefficient_notestloss,Albert,best_ensemble_model,8,,,0.688623,,3600s8c32G
19,autosklearnHyperbandTowering_metalearning_memefficient_notestloss,Albert,best_ensemble_model,9,,,0.650644,,3600s8c32G
20,autosklearnHyperbandTowering_metalearning_memefficient_notestloss,Covertype,best_ensemble_model,0,,,0.9575899999999999,,3600s8c32G
21,autosklearnHyperbandTowering_metalearning_memefficient_notestloss,Covertype,best_ensemble_model,1,,,0.958944,,3600s8c32G
22,autosklearnHyperbandTowering_metalearning_memefficient_notestloss,Covertype,best_ensemble_model,2,,,0.9563200000000001,,3600s8c32G
23,autosklearnHyperbandTowering_metalearning_memefficient_notestloss,Covertype,best_ensemble_model,3,,,0.571637,,3600s8c32G
24,autosklearnHyperbandTowering_metalearning_memefficient_notestloss,Covertype,best_ensemble_model,4,,,0.5753739999999999,,3600s8c32G
25,autosklearnHyperbandTowering_metalearning_memefficient_notestloss,Covertype,best_ensemble_model,5,,,0.57396,,3600s8c32G
26,autosklearnHyperbandTowering_metalearning_memefficient_notestloss,Covertype,best_ensemble_model,6,,,,,3600s8c32G
27,autosklearnHyperbandTowering_metalearning_memefficient_notestloss,Covertype,best_ensemble_model,7,,,0.961583,,3600s8c32G
28,autosklearnHyperbandTowering_metalearning_memefficient_notestloss,Covertype,best_ensemble_model,8,,,0.581871,,3600s8c32G
29,autosklearnHyperbandTowering_metalearning_memefficient_notestloss,Covertype,best_ensemble_model,9,,,0.956626,,3600s8c32G
30,autosklearnHyperbandTowering_metalearning_memefficient_notestloss,Dionis,best_ensemble_model,0,,,0.6255029999999999,,3600s8c32G
31,autosklearnHyperbandTowering_metalearning_memefficient_notestloss,Dionis,best_ensemble_model,1,,,0.626189,,3600s8c32G
32,autosklearnHyperbandTowering_metalearning_memefficient_notestloss,Dionis,best_ensemble_model,2,,,0.909486,,3600s8c32G
33,autosklearnHyperbandTowering_metalearning_memefficient_notestloss,Dionis,best_ensemble_model,3,,,0.6253310000000001,,3600s8c32G
34,autosklearnHyperbandTowering_metalearning_memefficient_notestloss,Dionis,best_ensemble_model,4,,,0.624676,,3600s8c32G
35,autosklearnHyperbandTowering_metalearning_memefficient_notestloss,Dionis,best_ensemble_model,5,,,0.906035,,3600s8c32G
36,autosklearnHyperbandTowering_metalearning_memefficient_notestloss,Dionis,best_ensemble_model,6,,,0.910551,,3600s8c32G
37,autosklearnHyperbandTowering_metalearning_memefficient_notestloss,Dionis,best_ensemble_model,7,,,0.659129,,3600s8c32G
38,autosklearnHyperbandTowering_metalearning_memefficient_notestloss,Dionis,best_ensemble_model,8,,,0.164936,,3600s8c32G
39,autosklearnHyperbandTowering_metalearning_memefficient_notestloss,Dionis,best_ensemble_model,9,,,0.62637,,3600s8c32G
