,tool,task,model,fold,train,val,test,overfit,constraint
0,autosklearn_autogluonstrategy_noniterative_largexp,Airlines,best_ensemble_model,0,,,0.654506,,3600s8c32G
1,autosklearn_autogluonstrategy_noniterative_largexp,Airlines,best_ensemble_model,1,,,0.6626449999999999,,3600s8c32G
2,autosklearn_autogluonstrategy_noniterative_largexp,Airlines,best_ensemble_model,2,,,0.654307,,3600s8c32G
3,autosklearn_autogluonstrategy_noniterative_largexp,Airlines,best_ensemble_model,3,,,0.655557,,3600s8c32G
4,autosklearn_autogluonstrategy_noniterative_largexp,Airlines,best_ensemble_model,4,,,0.651396,,3600s8c32G
5,autosklearn_autogluonstrategy_noniterative_largexp,Albert,best_ensemble_model,0,,,0.6859890000000001,,3600s8c32G
6,autosklearn_autogluonstrategy_noniterative_largexp,Albert,best_ensemble_model,1,,,0.684555,,3600s8c32G
7,autosklearn_autogluonstrategy_noniterative_largexp,Albert,best_ensemble_model,2,,,0.687729,,3600s8c32G
8,autosklearn_autogluonstrategy_noniterative_largexp,Albert,best_ensemble_model,3,,,0.6862010000000001,,3600s8c32G
9,autosklearn_autogluonstrategy_noniterative_largexp,Albert,best_ensemble_model,4,,,0.688341,,3600s8c32G
10,autosklearn_autogluonstrategy_noniterative_largexp,Covertype,best_ensemble_model,0,,,0.84757,,3600s8c32G
11,autosklearn_autogluonstrategy_noniterative_largexp,Covertype,best_ensemble_model,1,,,0.8409559999999999,,3600s8c32G
12,autosklearn_autogluonstrategy_noniterative_largexp,Covertype,best_ensemble_model,2,,,0.8419620000000001,,3600s8c32G
13,autosklearn_autogluonstrategy_noniterative_largexp,Covertype,best_ensemble_model,3,,,0.8459760000000001,,3600s8c32G
14,autosklearn_autogluonstrategy_noniterative_largexp,Covertype,best_ensemble_model,4,,,0.840417,,3600s8c32G
15,autosklearn_autogluonstrategy_noniterative_largexp,Dionis,best_ensemble_model,0,,,0.6255029999999999,,3600s8c32G
16,autosklearn_autogluonstrategy_noniterative_largexp,Dionis,best_ensemble_model,1,,,0.693399,,3600s8c32G
17,autosklearn_autogluonstrategy_noniterative_largexp,Dionis,best_ensemble_model,2,,,0.6202949999999999,,3600s8c32G
18,autosklearn_autogluonstrategy_noniterative_largexp,Dionis,best_ensemble_model,3,,,0.6736479999999999,,3600s8c32G
19,autosklearn_autogluonstrategy_noniterative_largexp,Dionis,best_ensemble_model,4,,,0.802193,,3600s8c32G
