,tool,task,model,fold,train,val,test,overfit
0,autosklearnHyperBandAVGRepeatsRobustEnsemble_cv5_repeats10_avgTrue_ensemble_perrun_max,cnae-9,best_individual_model,0,1.0,0.9196954356419378,0.9629629629629628,0.0
1,autosklearnHyperBandAVGRepeatsRobustEnsemble_cv5_repeats10_avgTrue_ensemble_perrun_max,cnae-9,best_ensemble_model,0,0.9588477366255144,inf,0.9629629629629628,0.0
2,autosklearnHyperBandAVGRepeatsRobustEnsemble_cv5_repeats10_avgTrue_ensemble_perrun_max,cnae-9,best_individual_model,1,1.0,0.926751593932664,0.8888888888888888,0.009259259259259078
3,autosklearnHyperBandAVGRepeatsRobustEnsemble_cv5_repeats10_avgTrue_ensemble_perrun_max,cnae-9,best_ensemble_model,1,0.9588477366255144,inf,0.9074074074074072,0.0
4,autosklearnHyperBandAVGRepeatsRobustEnsemble_cv5_repeats10_avgTrue_ensemble_perrun_max,cnae-9,best_individual_model,2,1.0,0.9225428397239096,0.9537037037037036,0.00925925925925919
5,autosklearnHyperBandAVGRepeatsRobustEnsemble_cv5_repeats10_avgTrue_ensemble_perrun_max,cnae-9,best_ensemble_model,2,0.9578189300411524,inf,0.9629629629629628,0.0
6,autosklearnHyperBandAVGRepeatsRobustEnsemble_cv5_repeats10_avgTrue_ensemble_perrun_max,cnae-9,best_individual_model,3,1.0,0.9258927705429764,0.8796296296296297,0.06481481481481477
7,autosklearnHyperBandAVGRepeatsRobustEnsemble_cv5_repeats10_avgTrue_ensemble_perrun_max,cnae-9,best_ensemble_model,3,0.954732510288066,inf,0.9166666666666666,0.0
8,autosklearnHyperBandAVGRepeatsRobustEnsemble_cv5_repeats10_avgTrue_ensemble_perrun_max,cnae-9,best_individual_model,4,1.0,0.9206873754198858,0.9444444444444444,0.00925925925925919
9,autosklearnHyperBandAVGRepeatsRobustEnsemble_cv5_repeats10_avgTrue_ensemble_perrun_max,cnae-9,best_ensemble_model,4,0.9506172839506172,inf,0.9444444444444444,0.0
10,autosklearnHyperBandAVGRepeatsRobustEnsemble_cv5_repeats10_avgTrue_ensemble_perrun_max,higgs,best_individual_model,0,0.8525816834859454,0.7259511644829605,0.7399375890837625,0.0
11,autosklearnHyperBandAVGRepeatsRobustEnsemble_cv5_repeats10_avgTrue_ensemble_perrun_max,higgs,best_ensemble_model,0,0.7323801813204482,inf,0.7389875292542039,0.0
12,autosklearnHyperBandAVGRepeatsRobustEnsemble_cv5_repeats10_avgTrue_ensemble_perrun_max,higgs,best_individual_model,1,0.8524548261031564,0.7268683004609283,0.7207106280555005,0.003765238212475097
13,autosklearnHyperBandAVGRepeatsRobustEnsemble_cv5_repeats10_avgTrue_ensemble_perrun_max,higgs,best_ensemble_model,1,0.7331128248761101,inf,0.7243030730929114,0.0
14,autosklearnHyperBandAVGRepeatsRobustEnsemble_cv5_repeats10_avgTrue_ensemble_perrun_max,higgs,best_individual_model,2,0.8514464166355741,0.7249208980268311,0.7364110554905903,0.0007687511797480617
15,autosklearnHyperBandAVGRepeatsRobustEnsemble_cv5_repeats10_avgTrue_ensemble_perrun_max,higgs,best_ensemble_model,2,0.7313964995939048,inf,0.7356804569771083,0.0
16,autosklearnHyperBandAVGRepeatsRobustEnsemble_cv5_repeats10_avgTrue_ensemble_perrun_max,higgs,best_individual_model,3,0.8518784703928864,0.7246462420856526,0.7345503344363913,0.0016605981359190114
17,autosklearnHyperBandAVGRepeatsRobustEnsemble_cv5_repeats10_avgTrue_ensemble_perrun_max,higgs,best_ensemble_model,3,0.7315137581448894,inf,0.7348074117753234,0.0
18,autosklearnHyperBandAVGRepeatsRobustEnsemble_cv5_repeats10_avgTrue_ensemble_perrun_max,higgs,best_individual_model,4,0.8504058403856884,0.7245485312194466,0.7366759760235359,0.0
19,autosklearnHyperBandAVGRepeatsRobustEnsemble_cv5_repeats10_avgTrue_ensemble_perrun_max,higgs,best_ensemble_model,4,0.7311814306921673,inf,0.7380990745215799,0.0
20,autosklearnHyperBandAVGRepeatsRobustEnsemble_cv5_repeats10_avgTrue_ensemble_perrun_max,kr-vs-kp,best_individual_model,0,1.0,0.9962194910902726,0.9967320261437908,0.0
21,autosklearnHyperBandAVGRepeatsRobustEnsemble_cv5_repeats10_avgTrue_ensemble_perrun_max,kr-vs-kp,best_ensemble_model,0,0.997514715944001,inf,0.9967320261437908,0.0
22,autosklearnHyperBandAVGRepeatsRobustEnsemble_cv5_repeats10_avgTrue_ensemble_perrun_max,kr-vs-kp,best_individual_model,1,1.0,0.996090619239654,0.9910179640718564,0.0
23,autosklearnHyperBandAVGRepeatsRobustEnsemble_cv5_repeats10_avgTrue_ensemble_perrun_max,kr-vs-kp,best_ensemble_model,1,0.9964850359636932,inf,0.9850299401197604,0.0
